,movie,year,timeMin,imdb,metascore,votes,us_grossMillions
0,Knives Out,2019,130,7.9,82,327599,165.36
1,Parasite,2019,132,8.6,96,431807,53.37
2,Joker,2019,122,8.5,59,812846,335.45
3,Once Upon a Time... in Hollywood,2019,161,7.7,83,481053,142.5
4,The Gentlemen,2019,113,7.9,51,150395,
5,The Help,2011,146,8.1,62,414986,169.71
6,1917,2019,119,8.3,78,330951,159.23
7,Avengers: Endgame,2019,181,8.4,78,730547,858.37
8,Gone with the Wind,1939,238,8.1,97,280461,198.68
9,Back to the Future,1985,116,8.5,87,1010895,210.61
10,Jojo Rabbit,2019,108,7.9,58,228731,0.35
11,The Shawshank Redemption,1994,142,9.3,80,2253115,28.34
12,The Wolf of Wall Street,2013,180,8.2,75,1123806,116.9
13,Inception,2010,148,8.8,74,1975921,292.58
14,The Godfather,1972,175,9.2,100,1554770,134.97
15,Little Women,2019,135,7.9,91,110705,108.1
16,Harry Potter and the Sorcerer's Stone,2001,152,7.6,64,617029,317.58
17,Interstellar,2014,169,8.6,74,1426165,188.02
18,The Lord of the Rings: The Fellowship of the Ring,2001,178,8.8,92,1605080,315.54
19,The Dark Knight,2008,152,9.0,84,2220190,534.86
20,V for Vendetta,2005,132,8.2,62,1000842,70.51
21,The Silence of the Lambs,1991,118,8.6,85,1220198,130.74
22,The Matrix,1999,136,8.7,73,1615984,171.48
23,The Lighthouse,2019,109,7.6,83,109376,0.43
24,Moana,2016,107,7.6,81,255125,248.76
25,Django Unchained,2012,165,8.4,81,1303658,162.81
26,Pulp Fiction,1994,154,8.9,94,1763579,107.93
27,Saving Private Ryan,1998,169,8.6,91,1191413,216.54
28,Jurassic Park,1993,127,8.1,68,834461,402.45
29,L̩on: The Professional,1994,110,8.5,64,997202,19.5
30,Titanic,1997,194,7.8,75,1015640,659.33
31,No Country for Old Men,2007,122,8.1,91,820868,74.28
32,Inglourious Basterds,2009,153,8.3,69,1216257,120.54
33,Gladiator,2000,155,8.5,67,1294888,187.71
34,The Irishman,2019,209,7.9,94,295065,
35,Ford v Ferrari,2019,152,8.1,81,224838,117.62
36,Ferris Bueller's Day Off,1986,103,7.8,61,309344,70.14
37,The Goonies,1985,114,7.8,62,233884,61.5
38,Mad Max: Fury Road,2015,120,8.1,90,845843,154.06
39,Do the Right Thing,1989,120,7.9,92,83438,27.55
40,Casino Royale,2006,144,8.0,80,566150,167.45
41,The Fifth Element,1997,126,7.7,52,422380,63.54
42,Guardians of the Galaxy Vol. 2,2017,136,7.6,67,542701,389.81
43,Forrest Gump,1994,142,8.8,82,1736925,330.25
44,Get Out,2017,104,7.7,85,463741,176.04
45,Inside Man,2006,129,7.6,76,328319,88.51
46,Fight Club,1999,139,8.8,66,1790847,37.03
47,Call Me by Your Name,2017,132,7.9,93,193916,18.1
48,The Prestige,2006,130,8.5,66,1141469,53.09
49,Avengers: Infinity War,2018,149,8.5,68,781599,678.82
